id,traceId,sessionId,datasetRunId,timestamp,source,name,dataType,value,stringValue,comment,metadata,observationId,traceName,userId,traceTags,environment,authorUserName
"c82d0de4a72b943b","21a78d4a3d674ae52d137459e8585070","","","2025-12-22T20:24:08.643Z","API","retriever_score_gap","NUMERIC","0","","","{}","c0b1b16228a6747c","dense_retrieval","","[]","default",""
"8fd61d42796da1fc","4b309706ceb1dee61f2f6e84e2ed5e7c","","","2025-12-22T20:24:08.178Z","API","retriever_score_gap","NUMERIC","0","","","{}","68adaf5ef3c952f3","dense_retrieval","","[]","default",""
"248333bf54b22ae5","27dd1bb73225500ba033ddce3cea28df","","","2025-12-22T20:24:07.723Z","API","retriever_score_gap","NUMERIC","0","","","{}","b2fb541ee25ce47a","dense_retrieval","","[]","default",""
"4711b0c61b17728f","c3132e01aa1269a4988ffb35722f3c55","","","2025-12-22T20:24:07.283Z","API","retriever_score_gap","NUMERIC","0","","","{}","6223590f795656e8","dense_retrieval","","[]","default",""
"cee1ff05c4f27fef","b5c659f7462c9d951d6f61c7a80cc1e6","","","2025-12-22T20:24:06.725Z","API","retriever_score_gap","NUMERIC","0","","","{}","a75aa56205e0e5b4","dense_retrieval","","[]","default",""
"a2921a8130cbfc80","3671e12d05ce178ae5df20e529c0e137","","","2025-12-22T20:24:06.225Z","API","retriever_score_gap","NUMERIC","0","","","{}","87d6c4646a9efe26","dense_retrieval","","[]","default",""
"319bc88d513cac72","f4398b280e9c6c72948bb25631ca1459","","","2025-12-22T20:24:05.764Z","API","retriever_score_gap","NUMERIC","0","","","{}","6d035fdd96b1bd6c","dense_retrieval","","[]","default",""
"e99499c21933b75c","9a1fabbb0a418ef32434c14dc030c111","","","2025-12-22T20:24:05.347Z","API","retriever_score_gap","NUMERIC","0","","","{}","95613c1a7fb3675d","dense_retrieval","","[]","default",""
"cd7961fe7fe5f88d","f4af4b0c249449ad8db5cea9d6d706bf","","","2025-12-22T20:24:04.887Z","API","retriever_score_gap","NUMERIC","0","","","{}","363dd80e6de77eb2","dense_retrieval","","[]","default",""
"1202c23d02593b8c","d23cfefe99cf20d2bf42437e5419e5a3","","","2025-12-22T20:24:04.442Z","API","retriever_score_gap","NUMERIC","0","","","{}","ce55cbfa1c379380","dense_retrieval","","[]","default",""
"38ae05e1baa589b1","114319bcacb44ce57e64f1861b0b1079","","","2025-12-22T20:24:03.997Z","API","retriever_score_gap","NUMERIC","0","","","{}","042a46390122937f","dense_retrieval","","[]","default",""
"b3dd75044fad39e9","47906e6a6a975e8ec1009a76848b11cf","","","2025-12-22T20:24:03.385Z","API","retriever_score_gap","NUMERIC","0","","","{}","f3842e6f28e02b23","dense_retrieval","","[]","default",""
